"","Dem","Rep","Ind","Unk","pbin1","pbin2","pbin3","pbin4","pbin5","pbin6","pbin7","pbin8","pbin9","pbin10","pbin11","pbin12","pbin13","pbin14","pbin15","pbin16","pbin17","pbin18","pbin19","pbin20","wbin1","wbin2","wbin3","wbin4","wbin5","wbin6","wbin7","wbin8","wbin9","wbin10","wbin11","wbin12","wbin13","wbin14","wbin15","wbin16","wbin17","wbin18","wbin19","wbin20","wbin21","wbin22","wbin23","wbin24","wbin25","wbin26","wbin27","wbin28","wbin29","wbin30","wbin31","wbin32","wbin33","wbin34","wbin35","wbin36","wbin37","wbin38","wbin39","wbin40","wbin41","wbin42","wbin43","wbin44","wbin45","wbin46","wbin47","wbin48","wbin49","wbin50","wbin51","wbin52","wbin53","wbin54","wbin55","wbin56","wbin57","wbin58","wbin59","wbin60","wbin61","wbin62","wbin63","wbin64","wbin65","wbin66","wbin67","wbin68","wbin69","wbin70","wbin71","wbin72","wbin73","wbin74","wbin75","wbin76","wbin77","wbin78","wbin79","wbin80","wbin81","wbin82","wbin83","wbin84","wbin85","wbin86","wbin87","wbin88","wbin89","wbin90","wbin91","wbin92","wbin93","wbin94","wbin95","wbin96","wbin97","wbin98","wbin99","wbin100"
"2011",22,28,0,0,0,0,12,11,4,4,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3,8,4,15,16,17,22,29,27,38,36,39,49,41,44,33,38,28,32,19,15,19,8,6,13,2,3,3,1,1,0,3,3,4,5,13,23,40,40,44,39,54,76,73,67,67,32,19,3,3,0,0,0,0
"2013",21,29,0,0,0,2,6,10,15,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,2,15,11,13,15,15,23,45,38,36,42,52,28,37,19,16,32,21,16,35,25,27,17,25,23,17,28,36,38,46,50,41,49,64,66,64,54,16,12,6,1,0,0,0,0
"2015",21,26,0,0,0,0,4,5,14,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,6,8,11,15,14,29,27,34,38,29,24,25,34,21,14,20,20,16,20,16,24,31,23,14,15,16,19,25,21,33,35,46,43,41,41,44,51,45,37,19,15,6,3,1,0,0,0
"2017",15,31,0,0,0,5,10,7,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,16,17,17,19,26,21,30,15,20,24,19,16,16,24,22,20,38,21,8,27,33,32,19,25,33,19,34,34,42,61,55,63,45,39,25,23,13,9,0,0,0,0
