"","Dem","Rep","Ind","Unk","pbin1","pbin2","pbin3","pbin4","pbin5","pbin6","pbin7","pbin8","pbin9","pbin10","pbin11","pbin12","pbin13","pbin14","pbin15","pbin16","pbin17","pbin18","pbin19","pbin20","wbin1","wbin2","wbin3","wbin4","wbin5","wbin6","wbin7","wbin8","wbin9","wbin10","wbin11","wbin12","wbin13","wbin14","wbin15","wbin16","wbin17","wbin18","wbin19","wbin20","wbin21","wbin22","wbin23","wbin24","wbin25","wbin26","wbin27","wbin28","wbin29","wbin30","wbin31","wbin32","wbin33","wbin34","wbin35","wbin36","wbin37","wbin38","wbin39","wbin40","wbin41","wbin42","wbin43","wbin44","wbin45","wbin46","wbin47","wbin48","wbin49","wbin50","wbin51","wbin52","wbin53","wbin54","wbin55","wbin56","wbin57","wbin58","wbin59","wbin60","wbin61","wbin62","wbin63","wbin64","wbin65","wbin66","wbin67","wbin68","wbin69","wbin70","wbin71","wbin72","wbin73","wbin74","wbin75","wbin76","wbin77","wbin78","wbin79","wbin80","wbin81","wbin82","wbin83","wbin84","wbin85","wbin86","wbin87","wbin88","wbin89","wbin90","wbin91","wbin92","wbin93","wbin94","wbin95","wbin96","wbin97","wbin98","wbin99","wbin100"
"2011",12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,8,12,20,22,43,48,50,50,75,63,82,59,82,61,44,25,12,15
"2012",12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,10,22,17,18,31,29,26,32,37,34,28,26,48,48,54,46,46,40,50,42,22,29,36
"2013",14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,15,19,32,60,73,87,125,98,67,102,77
"2014",58,99,0,0,69,36,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,10,9,12,23,51,133,254,395,451,624,554,451,342,225,286,358,507,644,863,933,782
"2015",14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,17,17,41,66,105,160,139,124,102
"2016",14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,15,38,60,92,116,139,120,109,66,14
"2017",14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,6,14,30,36,44,52,52,55,41,37,60,79,104,72
