"","Dem","Rep","Ind","Unk","pbin1","pbin2","pbin3","pbin4","pbin5","pbin6","pbin7","pbin8","pbin9","pbin10","pbin11","pbin12","pbin13","pbin14","pbin15","pbin16","pbin17","pbin18","pbin19","pbin20","wbin1","wbin2","wbin3","wbin4","wbin5","wbin6","wbin7","wbin8","wbin9","wbin10","wbin11","wbin12","wbin13","wbin14","wbin15","wbin16","wbin17","wbin18","wbin19","wbin20","wbin21","wbin22","wbin23","wbin24","wbin25","wbin26","wbin27","wbin28","wbin29","wbin30","wbin31","wbin32","wbin33","wbin34","wbin35","wbin36","wbin37","wbin38","wbin39","wbin40","wbin41","wbin42","wbin43","wbin44","wbin45","wbin46","wbin47","wbin48","wbin49","wbin50","wbin51","wbin52","wbin53","wbin54","wbin55","wbin56","wbin57","wbin58","wbin59","wbin60","wbin61","wbin62","wbin63","wbin64","wbin65","wbin66","wbin67","wbin68","wbin69","wbin70","wbin71","wbin72","wbin73","wbin74","wbin75","wbin76","wbin77","wbin78","wbin79","wbin80","wbin81","wbin82","wbin83","wbin84","wbin85","wbin86","wbin87","wbin88","wbin89","wbin90","wbin91","wbin92","wbin93","wbin94","wbin95","wbin96","wbin97","wbin98","wbin99","wbin100"
"2011",22,28,0,0,0,0,6,15,4,5,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,9,9,13,15,24,26,27,28,37,35,42,50,34,49,41,39,36,28,15,12,11,7,6,1,4,2,4,2,9,5,7,8,14,30,41,32,49,55,76,80,78,52,42,14,7,4,3,0,0,0,0
"2013",21,29,0,0,0,0,8,4,13,20,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,11,12,11,9,11,14,23,33,37,31,39,39,36,32,30,20,23,19,22,22,17,26,28,31,22,34,36,32,37,39,39,48,49,40,50,46,50,45,39,15,10,3,1,0,0,0,0
"2015",21,26,0,0,0,0,3,8,20,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,6,5,9,9,13,19,12,25,20,30,31,30,33,26,31,18,15,10,21,24,15,18,21,25,40,41,42,39,30,36,35,28,39,49,39,28,30,33,35,27,22,6,0,0,0,0
"2017",15,31,0,0,0,5,10,7,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,7,10,22,16,24,27,22,23,20,19,13,19,12,23,18,24,28,36,31,42,42,56,25,22,32,36,47,38,64,55,48,29,30,27,27,7,2,0,0,0
