"Senator1","Senator2","Weight2017","Weight2015","Weight2013","Weight2011"
"MTL000363","MTL000370",NA,NA,NA,NA
"MTL000363","MTL000185",NA,NA,NA,NA
"MTL000363","MTL000396",NA,NA,NA,NA
"MTL000363","MTL000134",NA,NA,NA,NA
"MTL000363","MTL000171",0.883048620236531,NA,NA,NA
"MTL000363","MTL000408",0.888751545117429,NA,NA,NA
"MTL000363","MTL000022",NA,NA,NA,NA
"MTL000363","MTL000104",NA,NA,NA,NA
"MTL000363","MTL000403",NA,NA,NA,NA
"MTL000363","MTL000003",NA,NA,NA,NA
"MTL000363","MTL000039",NA,NA,NA,NA
"MTL000363","MTL000089",0.846451612903226,NA,NA,NA
"MTL000363","MTL000339",NA,NA,NA,NA
"MTL000363","MTL000037",NA,NA,NA,NA
"MTL000363","MTL000188",NA,NA,NA,NA
"MTL000363","MTL000035",NA,NA,NA,NA
"MTL000363","MTL000336",NA,NA,NA,NA
"MTL000363","MTL000098",NA,NA,NA,NA
"MTL000363","MTL000312",NA,NA,NA,NA
"MTL000363","MTL000230",NA,NA,NA,NA
"MTL000363","MTL000025",NA,NA,NA,NA
"MTL000363","MTL000394",0.826254826254826,NA,NA,NA
"MTL000363","MTL000078",NA,NA,NA,NA
"MTL000363","MTL000102",NA,NA,NA,NA
"MTL000363","MTL000186",NA,NA,NA,NA
"MTL000363","MTL000411",NA,NA,NA,NA
"MTL000363","MTL000123",NA,NA,NA,NA
"MTL000363","MTL000002",NA,NA,NA,NA
"MTL000363","MTL000373",NA,NA,NA,NA
"MTL000363","MTL000018",NA,NA,NA,NA
"MTL000363","MTL000301",NA,NA,NA,NA
"MTL000363","MTL000051",0.85286783042394,NA,NA,NA
"MTL000363","MTL000111",NA,NA,NA,NA
"MTL000363","MTL000150",NA,NA,NA,NA
"MTL000363","MTL000343",NA,NA,NA,NA
"MTL000363","MTL000118",0.893536121673004,NA,NA,NA
"MTL000363","MTL000075",NA,NA,NA,NA
"MTL000363","MTL000065",NA,NA,NA,NA
"MTL000363","MTL000080",NA,NA,NA,NA
"MTL000363","MTL000126",NA,NA,NA,NA
"MTL000363","MTL000219",NA,NA,NA,NA
"MTL000363","MTL000189",NA,NA,NA,NA
"MTL000363","MTL000309",NA,NA,NA,NA
"MTL000363","MTL000063",NA,NA,NA,NA
"MTL000363","MTL000172",0.88030888030888,NA,NA,NA
"MTL000363","MTL000196",NA,NA,NA,NA
"MTL000363","MTL000105",NA,NA,NA,NA
"MTL000363","MTL000041",NA,NA,NA,NA
"MTL000363","MTL000106",NA,NA,NA,NA
"MTL000363","MTL000042",NA,NA,NA,NA
"MTL000363","MTL000036",NA,NA,NA,NA
"MTL000363","MTL000355",NA,NA,NA,NA
"MTL000363","MTL000395",NA,NA,NA,NA
"MTL000363","MTL000101",NA,NA,NA,NA
"MTL000363","MTL000023",NA,NA,NA,NA
"MTL000363","MTL000207",NA,NA,NA,NA
"MTL000363","MTL000009",0.850726552179657,NA,NA,NA
"MTL000363","MTL000107",0.677096370463079,NA,NA,NA
"MTL000363","MTL000365",NA,NA,NA,NA
"MTL000363","MTL000092",NA,NA,NA,NA
"MTL000363","MTL000192",NA,NA,NA,NA
"MTL000363","MTL000410",NA,NA,NA,NA
"MTL000363","MTL000038",NA,NA,NA,NA
"MTL000363","MTL000216",NA,NA,NA,NA
"MTL000363","MTL000131",0.671623296158612,NA,NA,NA
"MTL000363","MTL000369",0.847682119205298,NA,NA,NA
"MTL000363","MTL000325",NA,NA,NA,NA
"MTL000363","MTL000237",NA,NA,NA,NA
"MTL000363","MTL000099",NA,NA,NA,NA
"MTL000363","MTL000048",NA,NA,NA,NA
"MTL000363","MTL000407",NA,NA,NA,NA
"MTL000363","MTL000341",NA,NA,NA,NA
"MTL000363","MTL000220",NA,NA,NA,NA
"MTL000363","MTL000359",0.832689832689833,NA,NA,NA
"MTL000363","MTL000389",NA,NA,NA,NA
"MTL000363","MTL000307",NA,NA,NA,NA
"MTL000363","MTL000146",NA,NA,NA,NA
"MTL000363","MTL000103",0.648648648648649,NA,NA,NA
"MTL000363","MTL000269",NA,NA,NA,NA
"MTL000363","MTL000135",NA,NA,NA,NA
"MTL000363","X",0.639902676399027,NA,NA,NA
"MTL000363","MTL000033",NA,NA,NA,NA
"MTL000363","MTL000349",NA,NA,NA,NA
