"Senator1","Senator2","Weight2014","Weight2015","Weight2016","Weight2017"
"Prata","Ottiano",NA,NA,NA,NA
"Prata","Lombardi",NA,NA,1,1
"Goldin","Satchell",0.982171799027553,0.992718446601942,0.989180834621329,1
"Goldin","Nesselbush",0.978056426332288,0.992890995260663,0.998148148148148,0.944444444444444
"Goldin","Picard",0.977491961414791,0.985948477751756,0.994011976047904,1
"Goldin","Calkin",NA,NA,NA,0.944444444444444
"Goldin","Archambault",0.98125,0.993006993006993,0.995562130177515,1
"Goldin","Cote",0.957983193277311,0.979020979020979,0.980480480480481,1
"Goldin","Kettle",0.954758190327613,0.948598130841122,0.929553264604811,0.944444444444444
"Goldin","Rumsey",0.990131578947368,NA,NA,NA
"Goldin","Raptakis",0.960975609756098,0.981481481481482,0.957875457875458,1
"Goldin","Seveney",NA,NA,NA,1
"Goldin","Crowley",0.97887323943662,1,0.996389891696751,1
"Goldin","Algiere",0.974723538704581,0.995157384987893,0.935532233883059,0.972222222222222
"Goldin","Jabour",0.978193146417445,0.981264637002342,0.983679525222552,1
"Goldin","Ponte",0.977611940298508,1,0.993827160493827,1
"Goldin","Pagliarini",NA,NA,0.786450662739323,NA
"Goldin","Gallo",0.987480438184664,0.992146596858639,0.992526158445441,1
"Goldin","Coyne",NA,0.990498812351544,0.997005988023952,1
"Goldin","Morgan",NA,0.92654028436019,0.797619047619048,0.909090909090909
"Goldin","Metts",0.982594936708861,0.992857142857143,0.984939759036145,0.96969696969697
"Goldin","Sosnowski",0.98389694041868,0.995157384987893,0.997045790251108,1
"Goldin","Gee",NA,0.948235294117647,0.912979351032448,0.942857142857143
"Goldin","Lynch",0.978227060653188,0.995271867612293,NA,NA
"Goldin","Neill",0.949286846275753,0.959810874704492,0.829357798165138,NA
"Goldin","Doyle",0.986577181208054,1,0.994505494505495,1
"Goldin","Goodwin",0.981337480559876,0.995271867612293,0.996951219512195,1
"Goldin","Ciccone",0.984536082474227,0.997183098591549,0.990654205607477,1
"Goldin","Weed",0.981220657276995,0.995327102803738,0.996789727126806,1
"Goldin","Conley",0.984375,0.995169082125604,0.991058122205663,1
"Goldin","Hodgson",0.957006369426752,NA,NA,NA
"Goldin","Lombardo",0.98,0.994910941475827,0.992740471869328,1
"Goldin","Felag",0.979133226324238,0.995283018867924,0.979197622585438,1
"Goldin","Walaska",0.975609756097561,0.992840095465394,0.995,NA
"Goldin","Pearson",0.976038338658147,0.994764397905759,0.99079754601227,1
"Goldin","Paolino",NA,NA,NA,0.942857142857143
"Goldin","Pichardo",0.987012987012987,0.99171270718232,0.996655518394649,NA
"Goldin","Sheehan",0.975257731958763,0.99749373433584,0.980738362760835,0.972222222222222
"Goldin","Fogarty",0.984402079722704,0.990543735224586,0.991137370753324,1
"Goldin","Miller",0.983948635634029,0.997607655502392,0.99486301369863,1
"Goldin","DiPalma",0.973913043478261,0.992700729927007,0.99405646359584,1
"Goldin","McCaffrey",0.987158908507223,0.993827160493827,0.997001499250375,1
"Goldin","Quezada",NA,NA,NA,1
"Goldin","Bates",0.96513470681458,NA,NA,NA
"Goldin","Ottiano",0.979591836734694,0.997542997542998,NA,NA
"Goldin","Lombardi",0.977917981072555,0.992990654205608,0.996190476190476,1
"Satchell","Nesselbush",0.987748851454824,0.990267639902676,0.994464944649446,0.948717948717949
"Satchell","Picard",0.985849056603774,0.983451536643026,0.995555555555556,1
"Satchell","Calkin",NA,NA,NA,0.954545454545455
"Satchell","Archambault",0.989312977099237,0.990588235294118,0.989751098096633,1
"Satchell","Cote",0.96551724137931,0.976470588235294,0.983679525222552,1
"Satchell","Kettle",0.958841463414634,0.957647058823529,0.941880341880342,0.954545454545455
"Satchell","Rumsey",0.990322580645161,NA,NA,NA
"Satchell","Raptakis",0.965023847376789,0.978494623655914,0.965454545454545,1
"Satchell","Seveney",NA,NA,NA,1
"Satchell","Crowley",0.988095238095238,0.994505494505495,0.991304347826087,1
"Satchell","Algiere",0.981481481481482,0.992665036674817,0.952522255192878,0.977272727272727
"Satchell","Jabour",0.987823439878234,0.978723404255319,0.983823529411765,1
"Satchell","Ponte",0.992766726943942,0.994652406417112,0.992469879518072,1
"Satchell","Pagliarini",NA,NA,0.800291545189504,NA
"Satchell","Gallo",0.990811638591118,0.989583333333333,0.988165680473373,1
"Satchell","Coyne",NA,0.997601918465228,0.992603550295858,1
"Satchell","Morgan",NA,0.935406698564593,0.819117647058824,0.926829268292683
"Satchell","Metts",0.986089644513138,0.987980769230769,0.982142857142857,0.975609756097561
"Satchell","Sosnowski",0.993710691823899,0.992628992628993,0.992690058479532,1
"Satchell","Gee",NA,0.954869358669834,0.931286549707602,0.953488372093023
"Satchell","Lynch",0.987748851454824,0.992840095465394,NA,NA
