"","VotesAgainst2017","VotesAgainst2015","VotesAgainst2013","VotesAgainst2011"
"mtl000008",NA,0.126234906695939,0.140845070422535,0.133810010214505
"mtl000187",NA,NA,0.121771217712177,NA
"mtl000087",NA,0.17457886676876,0.0737240075614367,0.0998307952622673
"mtl000078",NA,NA,0.0928030303030303,0.161616161616162
"mtl000005",NA,NA,0.302521008403361,0.371457489878542
"mtl000080",NA,NA,NA,0.33175355450237
"mtl000375",0.23951048951049,NA,NA,NA
"mtl000142",NA,0.219017094017094,0.184615384615385,0.138613861386139
"mtl000140",NA,NA,NA,0.192675159235669
"mtl000099",0.163444639718805,0.145061728395062,0.153985507246377,0.150943396226415
"mtl000341",0.26578073089701,0.251851851851852,NA,NA
"mtl000030",NA,NA,0.192,0.166
"mtl000354",0.041388518024032,NA,NA,NA
"mtl000123",NA,0.202492211838006,0.216117216117216,0.242811501597444
"mtl000088",NA,NA,0.208413001912046,0.279461279461279
"mtl000045",NA,NA,0.222354340071344,0.226130653266332
"mtl000034",NA,0.216790648246546,0.204624277456647,0.172273190621814
"mtl000405",0.158163265306122,NA,NA,NA
"mtl000092",NA,NA,0.189624329159213,0.17329093799682
"mtl000137",0.242890995260664,0.307845084409136,0.228102189781022,0.270664505672609
"mtl000261",NA,0.246246246246246,NA,NA
"mtl000050",NA,NA,NA,0.189274447949527
"mtl000305",0.290012033694344,0.289791437980241,NA,NA
"mtl000129",NA,0.191860465116279,0.189755529685681,0.190923317683881
"mtl000134",NA,NA,NA,0.32753164556962
"mtl000280",0.187425860023725,0.15174672489083,NA,NA
"mtl000392",0.259450171821306,NA,NA,NA
"mtl000374",0.20777027027027,NA,NA,NA
"mtl000004",NA,0.139315230224321,0.197975253093363,0.172482552342971
"mtl000201",0.250871080139373,0.297090352220521,0.224952741020794,NA
"mtl000083",NA,0.264792899408284,0.25092936802974,0.252747252747253
"mtl000359",0.0885750962772786,NA,NA,NA
"mtl000031",NA,NA,0.123957091775924,0.14957264957265
"mtl000073",NA,NA,NA,0.231418918918919
"mtl000090",0.240628778718259,0.235869565217391,0.164814814814815,0.2
"mtl000409",0.300584795321637,NA,NA,NA
"mtl000221",0.263431542461005,0.299107142857143,0.196750902527076,NA
"mtl000070",NA,0.281575898030127,0.265046296296296,0.313291139240506
"mtl000370",0.311336717428088,NA,NA,NA
"mtl000122",0.272413793103448,0.320300751879699,0.279491833030853,0.328455284552846
"mtl000206",NA,0.177394034536892,0.174863387978142,NA
"mtl000019",NA,NA,0.207718501702611,0.193103448275862
"mtl000198",NA,0.342814371257485,0.25,NA
"mtl000307",0.281833616298812,0.342342342342342,NA,NA
"mtl000145",NA,NA,0.229166666666667,0.212765957446809
"mtl000120",NA,NA,NA,0.244479495268139
"mtl000219",NA,0.357771260997067,0.249554367201426,NA
"mtl000147",NA,0.217247097844113,0.153558052434457,0.220967741935484
"mtl000364",0.276143790849673,NA,NA,NA
"mtl000115",NA,0.323619631901841,0.223062381852552,0.315873015873016
"mtl000103",0.282840236686391,0.314715359828142,0.266099635479951,0.359300476947536
"mtl000215",NA,0.30640243902439,0.28494623655914,NA
"mtl000118",0.156670746634027,0.167464114832536,0.140115163147793,0.172839506172839
"mtl000372",0.299186991869919,NA,NA,NA
"mtl000053",NA,NA,0.130434782608696,0.183050847457627
"mtl000081",NA,NA,NA,0.349258649093904
"mtl000192",0.206837606837607,0.273001508295626,0.213893967093236,NA
"mtl000072",0.124548736462094,0.193251533742331,0.100189035916824,0.0994940978077572
"mtl000077",NA,NA,NA,0.301587301587302
"mtl000139",NA,NA,0.269005847953216,0.308943089430894
"mtl000180",0.252086811352254,0.266165413533835,0.244360902255639,NA
"mtl000054",0.263537906137184,0.280662983425414,0.258724428399519,0.352850539291217
"mtl000173",0.202443280977312,0.282208588957055,0.132075471698113,NA
"mtl000378",0.220869565217391,NA,NA,NA
"mtl000038",NA,0.280590717299578,0.294600938967136,0.34944612286002
"mtl000334",0.289036544850498,0.352592592592593,NA,NA
"mtl000084",NA,NA,NA,0.230519480519481
"mtl000006",NA,NA,NA,0.318458417849899
"mtl000349",0.269491525423729,0.364963503649635,NA,NA
"mtl000023",0.228621291448517,0.260643821391485,0.233091787439614,0.27906976744186
"mtl000190",0.215547703180212,0.220030349013657,0.141025641025641,NA
"mtl000159",0.246428571428571,0.269874476987448,0.231386025200458,NA
"mtl000148",NA,0.338257016248154,0.280141843971631,0.335463258785943
"mtl000176",NA,NA,0.298181818181818,NA
"mtl000279",NA,0.286356821589205,NA,NA
"mtl000093",NA,NA,0.176684881602914,0.216346153846154
"mtl000039",NA,NA,NA,0.169578622816033
"mtl000230",0.298969072164948,0.345808383233533,NA,NA
"mtl000363",0.186298076923077,NA,NA,NA
"mtl000320",0.273504273504274,0.285917496443812,NA,NA
"mtl000181",0.29009009009009,0.339477726574501,0.24007561436673,NA
"mtl000256",0.279232111692845,0.315966386554622,NA,NA
"mtl000063",0.302447552447552,0.348159509202454,0.22117202268431,0.203361344537815
"mtl000213",0.313559322033898,0.310690423162583,0.291071428571429,NA
"mtl000399",0.121107266435986,NA,NA,NA
"mtl000388",0.133099824868651,NA,NA,NA
"mtl000057",0.294627383015598,0.328267477203647,0.293900184842884,0.323671497584541
"mtl000402",0.221064814814815,NA,NA,NA
"mtl000273",NA,0.368580060422961,NA,NA
"mtl000085",NA,0.32579185520362,0.256983240223464,0.323051948051948
"mtl000127",NA,NA,NA,0.313364055299539
"mtl000079",0.133217993079585,0.143504531722054,0.145719489981785,0.181533646322379
"mtl000124",NA,NA,NA,0.20414673046252
"mtl000069",0.229166666666667,0.188650306748466,0.152380952380952,0.189830508474576
"mtl000373",0.0875232774674116,NA,NA,NA
"mtl000098",0.170774647887324,0.123475609756098,0.122840690978887,0.206299212598425
"mtl000075",NA,0.270386266094421,0.209059233449477,0.220634920634921
"mtl000400",0.182291666666667,NA,NA,NA
"mtl000052",NA,0.202116402116402,0.160975609756098,0.11038961038961
"mtl000218",0.243432574430823,0.289473684210526,0.241758241758242,NA
"mtl000035",NA,NA,NA,0.187071498530852
"mtl000368",0.143344709897611,NA,NA,NA
"mtl000060",0.186503067484663,0.229800629590766,0.131725417439703,0.216887417218543
"mtl000058",NA,NA,0.256410256410256,0.271103896103896
"mtl000135",NA,NA,NA,0.252764612954186
"mtl000193",0.142857142857143,0.194805194805195,0.130188679245283,NA
"mtl000172",0.204600484261501,0.233820459290188,0.190647482014388,NA
"mtl000086",NA,NA,NA,0.209106239460371
"mtl000356",0.164383561643836,NA,NA,NA
"mtl000143",0.23590333716916,0.281615302869288,0.192377495462795,0.2109375
"mtl000355",0.275080906148867,NA,NA,NA
"mtl000104",NA,NA,0.15819209039548,0.18212478920742
"mtl000043",0.209964412811388,0.266025641025641,0.23760092272203,0.226824457593688
"mtl000248",0.256083429895713,0.250800426894344,NA,NA
"mtl000385",0.0688311688311688,NA,NA,NA
"mtl000133",0.209032258064516,0.238372093023256,0.223048327137546,0.27891156462585
"mtl000393",0.119850187265918,NA,NA,NA
"mtl000384",0.237762237762238,NA,NA,NA
"mtl000026",NA,NA,0.126627218934911,0.131198347107438
"mtl000056",NA,NA,NA,0.252577319587629
"mtl000022",NA,0.336909871244635,0.31095406360424,0.419289340101523
"mtl000403",0.253032928942808,NA,NA,NA
"mtl000071",NA,NA,0.149621212121212,0.256366723259762
"mtl000116",NA,NA,0.123827392120075,0.14218009478673
"mtl000028",NA,NA,NA,0.371031746031746
"mtl000410",0.0946196660482375,NA,NA,NA
"mtl000182",NA,NA,0.257769652650823,NA
"mtl000066",0.131548311990687,0.161658031088083,0.126785714285714,0.160513643659711
"mtl000211",0.302447552447552,0.366003062787136,0.267631103074141,NA
"mtl000121",0.24,0.288693743139407,0.269090909090909,0.310679611650485
"mtl000007",NA,0.256989247311828,0.254484304932735,0.230535894843276
"mtl000136",NA,NA,NA,0.18341307814992
"mtl000177",NA,NA,0.290650406504065,NA
"mtl000014",NA,NA,NA,0.295760082730093
"mtl000343",NA,0.34841628959276,NA,NA
"mtl000076",0.222996515679443,0.242559523809524,0.159633027522936,0.272131147540984
"mtl000275",0.220149253731343,0.272321428571429,NA,NA
"mtl000304",0.102230483271375,0.134969325153374,NA,NA
"mtl000301",0.252442996742671,0.318862275449102,NA,NA
"mtl000391",0.145797598627787,NA,NA,NA
"mtl000411",0.242530755711775,NA,NA,NA
"mtl000214",0.260945709281961,0.211800302571861,0.223423423423423,NA
"mtl000226",0.324786324786325,0.354489164086687,0.282287822878229,NA
"mtl000020",NA,NA,0.253462603878116,0.316733067729084
"mtl000316",0.304794520547945,0.3202416918429,NA,NA
"mtl000024",NA,NA,NA,0.189134808853119
"mtl000047",NA,NA,NA,0.351521511017838
"mtl000009",0.127250900360144,0.133986928104575,0.117159763313609,0.153217568947906
"mtl000021",0.0792682926829268,0.139281828073993,0.0962441314553991,0.145985401459854
"mtl000025",NA,0.243715846994536,0.260619977037887,0.355196770938446
"mtl000046",NA,NA,0.308626974483597,0.319878910191726
"mtl000029",NA,NA,NA,0.160560344827586
"mtl000357",0.163732394366197,NA,NA,NA
"mtl000150",NA,NA,NA,0.196513470681458
"mtl000049",NA,0.440184049079755,0.329199549041714,0.275827482447342
"mtl000289",0.192010309278351,0.227564102564103,NA,NA
"mtl000406",0.353140916808149,NA,NA,NA
"mtl000185",0.278745644599303,0.330781010719755,0.18984962406015,NA
"mtl000114",NA,NA,NA,0.273155416012559
"mtl000396",0.248704663212435,NA,NA,NA
"mtl000117",NA,NA,0.240942028985507,0.279434850863422
"mtl000113",NA,0.253125,0.238181818181818,0.311111111111111
"mtl000367",0.224561403508772,NA,NA,NA
"mtl000048",0.27008547008547,0.262926292629263,0.210462287104623,0.359840954274354
"mtl000379",0.172473867595819,NA,NA,NA
"mtl000195",NA,0.192419825072886,0.152603231597846,NA
"mtl000381",0.0892641737032569,NA,NA,NA
"mtl000398",0.305460750853242,NA,NA,NA
"mtl000168",0.251764705882353,0.308452250274424,0.306122448979592,NA
"mtl000216",NA,0.311424100156495,0.230202578268877,NA
"mtl000128",NA,NA,NA,0.133445945945946
"mtl000184",NA,NA,0.189380530973451,NA
"mtl000371",0.313588850174216,NA,NA,NA
"mtl000010",0.258103241296519,0.299054373522459,0.238095238095238,0.33197139938713
"mtl000067",0.144851657940663,0.225806451612903,0.113421550094518,0.102693602693603
"mtl000179",NA,NA,0.269982238010657,NA
"mtl000383",0.10440251572327,NA,NA,NA
"mtl000369",0.159855769230769,NA,NA,NA
"mtl000220",0.237623762376238,0.333333333333333,0.171220400728597,NA
"mtl000269",0.32463295269168,0.410294117647059,NA,NA
